Date,Open,High,Low,Close,Adj Close,Volume
2010-11-17,5.468750,5.937500,5.468750,5.776562,5.579434,86088320
2010-11-18,5.640625,5.762500,5.234375,5.293750,5.113098,44646169
2010-11-19,5.281250,5.450000,5.182812,5.378125,5.194594,30073548
2010-11-22,5.312500,5.437500,5.267187,5.298437,5.117625,23682713
2010-11-23,5.234375,5.281250,4.981250,5.064062,4.891249,22533600
2010-11-24,5.028125,5.218750,5.007812,5.203125,5.025566,15291820
2010-11-25,5.218750,5.367187,5.204687,5.287500,5.107061,19109203
2010-11-26,5.284375,5.559375,5.251562,5.467187,5.280617,24193945
2010-11-29,5.426562,5.509375,5.315625,5.379687,5.196103,13360179
2010-11-30,5.398437,5.426562,5.053125,5.162500,4.986327,13145676
2010-12-01,5.168750,5.248437,5.125000,5.210937,5.033111,9452620
2010-12-02,5.265625,5.310937,5.189062,5.212500,5.034621,9245862
2010-12-03,5.176562,5.270312,5.087500,5.123437,4.948597,8415232
2010-12-06,5.140625,5.140625,4.842187,4.906250,4.738822,11147590
2010-12-07,4.876562,4.935937,4.812500,4.926562,4.758441,8994976
2010-12-08,4.906250,5.012500,4.896875,4.925000,4.756932,6731942
2010-12-09,4.918750,4.962500,4.804687,4.804687,4.640725,4897824
2010-12-10,4.806250,4.903125,4.796875,4.898437,4.731276,4995987
2010-12-13,4.909375,5.039062,4.909375,5.031250,4.859557,8585529
2010-12-14,5.043750,5.106250,4.992187,5.092187,4.918414,6943526
2010-12-15,5.090625,5.090625,5.017187,5.028125,4.856537,5976627
2010-12-16,5.025000,5.076562,5.015625,5.018750,4.847483,4731116
2010-12-17,5.018750,5.018750,5.018750,5.018750,4.847483,0
2010-12-20,5.085937,5.170312,4.971875,5.123437,4.948597,10624198
2010-12-21,5.137500,5.203125,5.125000,5.168750,4.992364,9105862
2010-12-22,5.156250,5.171875,5.017187,5.046875,4.874649,7242624
2010-12-23,5.023437,5.062500,4.921875,4.937500,4.769005,4661862
2010-12-24,4.939062,5.076562,4.904687,4.953125,4.784097,5279801
2010-12-27,4.934375,4.978125,4.765625,4.785937,4.622614,5965036
2010-12-28,4.718750,4.765625,4.656250,4.679687,4.519990,3562412
2010-12-29,4.684375,4.742187,4.656250,4.734375,4.572812,2642553
2010-12-30,4.732812,4.745312,4.673437,4.714062,4.553193,2596652
2010-12-31,4.687500,4.764062,4.687500,4.734375,4.572812,4087859
2011-01-04,4.750000,4.810937,4.734375,4.789062,4.625633,3285779
2011-01-05,4.789062,4.809375,4.762500,4.781250,4.618088,2429254
2011-01-06,4.767187,4.803125,4.731250,4.731250,4.569794,2522758
2011-01-07,4.731250,4.781250,4.712500,4.737500,4.575831,2401894
2011-01-10,4.737500,4.737500,4.564062,4.582812,4.426422,4901171
2011-01-11,4.578125,4.578125,4.425000,4.487500,4.334363,3921273
2011-01-12,4.465625,4.514062,4.462500,4.514062,4.360017,1860332
2011-01-13,4.515625,4.550000,4.500000,4.515625,4.361527,1416550
2011-01-14,4.515625,4.515625,4.404687,4.418750,4.267958,2143289
2011-01-17,4.378125,4.414062,4.168750,4.184375,4.041581,4181132
2011-01-18,4.182812,4.187500,4.107812,4.137500,3.996305,2372198
2011-01-19,4.140625,4.242187,4.125000,4.218750,4.074783,3128377
2011-01-20,4.190625,4.210937,4.062500,4.062500,3.923865,3051705
2011-01-21,4.064062,4.109375,4.001562,4.076562,3.937447,2450918
2011-01-24,4.076562,4.121875,4.037500,4.050000,3.911792,1803916
2011-01-25,4.051562,4.171875,4.015625,4.164062,4.021962,2979219
2011-01-26,4.156250,4.207812,4.140625,4.195312,4.052145,2631808
2011-01-27,4.168750,4.246875,4.101562,4.226562,4.082329,2821894
2011-01-28,4.210937,4.234375,4.156250,4.192187,4.049127,1675360
2011-01-31,4.192187,4.215625,4.168750,4.203125,4.059692,3178905
2011-02-01,4.210937,4.210937,4.160937,4.178125,4.035545,2477753
2011-02-09,4.140625,4.209375,4.031250,4.045312,3.907264,2803769
2011-02-10,4.023437,4.256250,4.023437,4.237500,4.092893,4556384
2011-02-11,4.231250,4.309375,4.195312,4.257812,4.112512,4496441
2011-02-14,4.265625,4.342187,4.235937,4.320312,4.172880,4891795
2011-02-15,4.310937,4.387500,4.296875,4.346875,4.198536,5705260
2011-02-16,4.375000,4.467187,4.345312,4.448437,4.296632,5705113
2011-02-17,4.465625,4.468750,4.359375,4.410937,4.260412,11731187
2011-02-18,4.395312,4.395312,4.328125,4.375000,4.225701,7574137
2011-02-21,4.359375,4.412500,4.343750,4.412500,4.261921,7939334
2011-02-22,4.404687,4.404687,4.256250,4.256250,4.111003,7535187
2011-02-23,4.256250,4.373437,4.256250,4.340625,4.192499,5151475
2011-02-24,4.328125,4.364062,4.282812,4.304687,4.157787,4482528
2011-02-25,4.321875,4.335937,4.281250,4.328125,4.180426,2700288
2011-02-28,4.328125,4.403125,4.300000,4.398437,4.248339,4418329
2011-03-01,4.390625,4.406250,4.345312,4.371875,4.222682,4721676
2011-03-02,4.343750,4.368750,4.301562,4.348437,4.200044,3756230
2011-03-03,4.351562,4.368750,4.218750,4.256250,4.111003,4996422
2011-03-04,4.256250,4.293750,4.226562,4.273437,4.127604,3249734
2011-03-07,4.279687,4.307812,4.243750,4.284375,4.138169,5150784
2011-03-08,4.279687,4.310937,4.270312,4.304687,4.157787,3478009
2011-03-09,4.303125,4.395312,4.284375,4.382812,4.233247,7217664
2011-03-10,4.382812,4.387500,4.343750,4.348437,4.200044,3773536
2011-03-11,4.384375,4.503125,4.382812,4.401562,4.251358,11249248
2011-03-14,4.390625,4.514062,4.390625,4.514062,4.360017,9302380
2011-03-15,4.515625,4.526562,4.375000,4.446875,4.295124,6149696
2011-03-16,4.445312,4.465625,4.409375,4.451562,4.299651,3708640
2011-03-17,4.393750,4.620312,4.389062,4.548437,4.393220,12184121
2011-03-18,4.548437,4.654687,4.548437,4.570312,4.414349,9458579
2011-03-21,4.559375,4.592187,4.448437,4.473437,4.320779,4583436
2011-03-22,4.456250,4.506250,4.421875,4.470312,4.317760,3981792
2011-03-23,4.495312,4.507812,4.471875,4.492187,4.338889,2608716
2011-03-24,4.492187,4.570312,4.470312,4.546875,4.391711,5563404
2011-03-25,4.562500,4.635937,4.548437,4.571875,4.415858,8316051
2011-03-28,4.585937,4.632812,4.478125,4.484375,4.331344,6792352
2011-03-29,4.462500,4.578125,4.456250,4.468750,4.316252,8862809
2011-03-30,4.414062,4.590625,4.409375,4.575000,4.418876,8186028
2011-03-31,4.578125,4.746875,4.578125,4.684375,4.524518,18097299
2011-04-01,4.659375,4.660937,4.535937,4.601562,4.444532,7780806
2011-04-06,4.609375,4.742187,4.609375,4.665625,4.506408,8481094
2011-04-07,4.687500,4.790625,4.643750,4.762500,4.599977,14322579
2011-04-08,4.554687,4.676562,4.525000,4.634375,4.476225,17048236
2011-04-11,4.607812,4.609375,4.390625,4.401562,4.251358,13770720
2011-04-12,4.403125,4.406250,4.225000,4.234375,4.089874,8723014
2011-04-13,4.251562,4.289062,4.218750,4.260937,4.115530,4289472
2011-04-14,4.273437,4.421875,4.273437,4.398437,4.248339,8973907
2011-04-15,4.406250,4.457812,4.376562,4.440625,4.289087,6301228
2011-04-18,4.434375,4.715625,4.306250,4.712500,4.551683,14579923
2011-04-19,4.640625,4.754687,4.617187,4.700000,4.539610,9688896
2011-04-20,4.710937,4.798437,4.640625,4.742187,4.580358,11080300
2011-04-21,4.750000,4.820312,4.687500,4.793750,4.630161,9735148
2011-04-22,4.750000,4.817187,4.517187,4.548437,4.393220,11119827
2011-04-25,4.531250,4.578125,4.460937,4.482812,4.329834,4532339
2011-04-26,4.487500,4.512500,4.325000,4.350000,4.201554,4505484
2011-04-27,4.350000,4.390625,4.321875,4.390625,4.240793,2800275
2011-04-28,4.390625,4.453125,4.300000,4.301562,4.154769,2524102
2011-04-29,4.301562,4.301562,4.301562,4.301562,4.154769,0
2011-05-03,null,null,null,null,null,null
2011-05-04,4.334375,4.356250,4.218750,4.242187,4.097421,2254643
